AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-1018,-2584,7966,619,-399,25,-2992
-2022,-654,7964,927,-933,60,-2976
-710,390,7578,786,-1171,-137,-2992
1596,608,7346,485,-907,-320,-2992
3334,1188,6602,295,-227,-207,-3008
3324,2638,5454,-338,440,-250,-3008
2700,2038,6470,-586,958,-15,-2976
1098,2494,6990,-946,1063,-162,-2960
284,1428,7996,-1171,1020,-143,-2960
-70,-48,8330,-1218,1045,-94,-2976
44,-508,8042,-1286,1127,-152,-2992
-2664,-4306,8196,-379,461,-99,-2992
-2966,-3930,7736,477,-242,-175,-2992
-1152,354,6474,765,-791,-218,-2976
-70,98,8296,343,-651,-389,-3008
1104,-90,8426,314,-366,-125,-2976
1064,-56,7996,371,-77,-101,-3024
84,652,8048,258,-61,-111,-2960
-332,1066,8004,45,-163,-203,-2976
684,540,8580,-224,-90,-132,-3008
1466,208,7896,-292,146,-155,-2992
1646,-266,7370,-346,491,-81,-2992
656,-458,7052,-360,715,-99,-3008
-414,-210,7300,-314,580,-338,-2992
-888,-272,8220,-177,307,-226,-2992
-1016,-372,8216,-220,43,-43,-2960
-432,-1372,7844,-18,-42,-265,-2976
-996,-3202,8962,505,-362,-143,-2976
-2066,-1906,9124,1001,-794,177,-3024
-1224,262,8452,953,-1207,-14,-2992
44,690,8166,661,-1150,-381,-2992
2676,438,7928,516,-574,-209,-3008
3586,2126,6822,-87,254,-204,-2976
2990,2056,6426,-414,789,14,-3024
1294,1982,7588,-667,1067,-139,-3024
-60,1606,8748,-1078,1049,-71,-2976
-270,700,9178,-1213,1006,-100,-2960
296,-762,8232,-1297,1140,-77,-2992
-2634,-4822,9776,-390,568,-32,-2992
-3152,-4612,8364,388,-109,-116,-2992
-2782,-2412,8892,826,-817,-268,-3024
308,106,8376,395,-670,-248,-2976
1220,-178,8612,317,-402,-124,-2976
1338,236,7834,321,-128,-107,-2992
-100,872,7876,139,-52,-96,-2976
-54,1096,7490,17,-67,-196,-2992
382,678,8584,-169,-100,-182,-3008
1412,-158,7696,-294,100,-95,-2976
1742,-434,6950,-374,515,-97,-2992
808,-342,7190,-378,722,-82,-2960
-480,-96,7564,-275,531,-264,-2992
-1138,-320,8346,-179,312,-259,-2976
-1220,184,7562,-253,30,-102,-3008
-122,-1454,8000,-34,-59,-204,-2992
-1026,-2638,8094,523,-319,3,-3024
-2118,-2230,9592,988,-769,180,-2976
-1782,254,8806,892,-1148,-17,-2976
684,888,7386,625,-1137,-403,-2992
2332,444,7884,507,-614,-209,-2992
3768,2106,6536,-94,281,-268,-3008
2796,2100,6456,-478,784,-55,-2976
782,2392,7408,-733,1068,-148,-3008
128,2020,8658,-1121,1052,-160,-2992
-146,296,8572,-1233,1035,-226,-2992
118,-762,7720,-1236,1063,-61,-2976
-1720,-4096,9690,-491,615,-121,-3024
-2680,-4890,8896,333,-112,-146,-2960
-2450,-1666,8584,837,-773,-217,-2960
154,220,8024,403,-653,-246,-3008
1332,172,7992,245,-403,-138,-3008
1628,266,8012,213,-60,-156,-3024
-18,792,7220,143,34,-124,-2992
-166,1120,7184,4,-69,-248,-2976
202,1038,7614,-268,-96,-194,-3008
1238,214,7754,-251,45,-179,-2992
1560,-614,8136,-311,392,-106,-2992
830,-546,7062,-343,674,-223,-2992
-556,-120,7420,-274,534,-401,-2960
-880,-150,7964,-190,327,-281,-2976
-1498,-40,8476,-180,-21,-42,-2992
-486,-1708,8666,36,-55,-218,-2992
-858,-3126,8866,435,-317,-75,-2976
-1822,-2682,9048,996,-680,157,-2992
-1910,-186,8896,971,-1154,113,-2992
-110,756,8056,679,-1223,-439,-2992
2596,552,7650,490,-679,-170,-2976
4044,1858,5954,3,144,-235,-2976
2898,2284,6214,-458,641,-17,-2992
1370,1816,7350,-599,1079,-51,-2992
646,2258,7438,-1064,1045,-126,-2976
-58,618,8798,-1181,992,-217,-2976
248,-500,8444,-1274,1083,-82,-2976
-1238,-2840,9188,-703,798,-69,-3024
-2766,-4564,8312,138,-1,-124,-2992
-2720,-2510,8750,706,-620,-263,-2976
-224,722,7018,407,-624,-189,-2992
1046,474,7664,237,-414,-162,-3024
1110,50,7990,232,-129,-168,-2992
82,990,7832,133,18,-131,-3008
-120,1164,7934,37,36,-198,-3008
-168,960,7586,-170,-127,-167,-3024
1094,-140,7630,-160,-31,-72,-2992
1622,-636,7418,-305,256,-98,-2976
1000,-466,7460,-295,580,-154,-3040
-350,-432,7978,-193,564,-209,-2992
-750,-234,8458,-115,278,-361,-3024
-1424,-196,8994,-10,-14,-200,-2960
-370,-1378,9034,-98,-41,-159,-2944
-44,-1320,8292,169,-137,-124,-2992
-1272,-2722,8502,714,-461,38,-2960
-2194,-510,8606,928,-924,147,-2992
-768,392,8510,812,-1219,-247,-3008
1144,450,7524,554,-904,-333,-3008
3272,1096,6994,386,-274,-206,-3024
2896,2618,6454,-280,381,-143,-3024
2736,1980,6666,-521,918,54,-2992
928,2408,7352,-924,1043,-143,-2992
