AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-9808,15854,1372,-4255,-1848,415,-2832
184,20872,-6998,-834,181,-1507,-2864
5318,-32768,23222,4450,2138,-5,-2832
-6470,7116,15032,-5039,-3129,1135,-2832
3632,15866,-98,1080,411,-1193,-2816
5882,-21378,20972,2309,959,69,-2816
2126,8450,10234,-2927,-983,-166,-2848
-1404,6840,7084,-599,-60,81,-2848
7508,-20288,15792,1172,1452,-195,-2848
1618,2740,8214,-6,1334,-312,-2848
5592,1908,12702,2415,1974,-420,-2848
-9578,18818,-1048,-4192,-1816,428,-2880
934,16218,-6152,794,841,-1615,-2816
4156,-32768,26926,3157,1476,467,-2848
-8898,32767,-10654,-5319,-3457,233,-2832
7350,-25700,4706,3603,305,-535,-2816
-3464,-7672,11008,-1744,-1696,174,-2832
384,23230,-2244,319,-239,-612,-2864
1310,-17340,18762,1319,1610,-181,-2832
1622,-1872,7024,-1964,-796,288,-2832
2190,4522,3062,590,968,-400,-2832
-1490,-9986,12484,170,-126,-122,-2832
-212,24216,1318,-2473,76,-594,-2832
5138,-32768,21458,4256,2026,-491,-2800
-6520,-1252,13704,-3512,-1780,1201,-2864
-8746,32767,-11542,110,-991,-1591,-2864
488,-28704,26044,1767,-311,1362,-2864
2164,26646,-2820,-2562,-1234,-471,-2832
2564,-1484,9666,3071,1151,-359,-2832
286,-15978,18962,-1231,-128,-105,-2864
-4620,13464,540,-1946,-1364,274,-2848
5656,-15006,8384,1727,1567,-337,-2848
-1908,1422,8282,-596,742,-179,-2848
1708,19620,4160,2260,2929,-890,-2816
-6266,-7516,16772,-1132,-397,721,-2848
-1930,32767,-9076,-3672,-1111,-923,-2848
3948,-10896,3544,5335,2426,-808,-2848
-726,-23630,25672,-3395,-2354,1920,-2880
4152,2570,1950,1797,525,-1250,-2848
3298,-25422,22026,1929,663,117,-2816
2768,22410,3064,-2775,-921,-196,-2848
-4798,13372,1392,-323,148,67,-2864
7122,-16896,16182,988,1386,-193,-2832
2398,4640,7086,12,1288,-325,-2832
4798,-7568,14302,2386,1845,-447,-2832
-6860,-3490,13732,-4284,-1858,364,-2832
3592,-5034,584,1158,983,-1581,-2832
-340,-32768,31886,2848,1385,532,-2832
-9130,32654,-392,-5425,-3438,431,-2832
3870,-2164,2856,3656,279,-503,-2864
-3774,8710,4410,-1388,-1524,183,-2864
-1686,15670,-140,-118,-370,-571,-2832
2078,-8612,13868,1404,1634,-210,-2848
6404,-15934,16138,-2195,-958,327,-2848
3232,144,1004,588,943,-450,-2880
-3676,-5926,10816,93,-65,-93,-2816
-6520,30160,-6654,-2232,253,-622,-2848
5362,-15232,3762,4176,2064,-391,-2880
-5526,22300,758,-3685,-1789,1142,-2848
-5768,26006,-9106,-1565,-1919,-1262,-2880
6140,-32768,16498,3069,98,711,-2832
-3358,15312,2316,-3025,-1869,-118,-2832
-1296,12254,1148,2508,647,-561,-2864
1024,-3542,15290,113,557,-113,-2832
-2836,9372,-404,-2381,-1681,300,-2848
3592,-4188,2586,1435,1278,-410,-2816
-3962,-2360,9286,-727,335,-120,-2848
5234,6978,10904,1307,2628,-919,-2848
-218,-28844,28042,620,502,511,-2848
-4198,29558,-3834,-4799,-1773,-393,-2816
-3426,18184,-7364,4814,1876,-1219,-2848
-5912,2472,17630,-2037,-1723,2119,-2848
3862,18442,-812,703,356,-1168,-2848
6202,-19508,20040,2642,1230,55,-2848
1488,26346,-2148,-2945,-977,-200,-2864
-1644,8078,6158,-676,-196,132,-2848
7422,-20414,15204,1260,1553,-222,-2848
1070,3054,8092,-135,1278,-275,-2832
5628,3120,12242,2647,2384,-553,-2832
-9442,17148,188,-3517,-1567,546,-2800
470,18872,-6504,-1359,-14,-1359,-2880
4594,-32768,24802,4702,2184,-100,-2848
-6594,10120,13042,-4826,-2987,1239,-2848
6882,-22498,4298,3288,394,-800,-2864
-3014,-10038,12124,-458,-973,199,-2832
704,24204,-2202,-993,-513,-477,-2832
-756,5836,7780,979,1424,-145,-2832
2654,-4314,8544,-993,49,107,-2832
2136,4518,3932,347,1113,-369,-2832
-618,-10098,12798,1051,324,-176,-2800
-9640,21828,-2858,-4098,-1341,-230,-2864
5518,-32612,18370,4170,1980,-1091,-2864
-5912,-8304,16956,-1604,-1000,1360,-2832
-9088,32767,-10996,-2637,-2537,-1015,-2864
7830,-28074,5250,3149,134,677,-2832
1144,25136,-1938,-3013,-1924,-77,-2864
1610,878,7998,2372,571,-597,-2832
878,-17014,18910,-189,414,-165,-2816
1486,-318,6040,-2482,-1718,304,-2848
5290,-12890,6384,1441,1267,-379,-2848
-2526,648,8512,-703,292,-149,-2816
678,22786,1936,1003,2519,-943,-2848
4888,-32768,22944,1074,708,439,-2848
-1842,32767,-8668,-4949,-1815,-233,-2848
3334,-6150,938,4650,1830,-1336,-2848
-136,-27346,26396,-1816,-1692,2247,-2848
4100,5392,1594,947,411,-1326,-2800
4382,-26736,22650,2902,1341,36,-2848
2622,20340,4430,-3029,-958,-124,-2816
-4816,13494,816,-777,-350,123,-2848
7314,-17910,16318,1194,1536,-195,-2864
2076,4916,7268,-72,1271,-300,-2864
5314,-6616,14514,2491,2018,-478,-2864
-6226,-7034,16004,-4108,-1775,437,-2864
3062,-1160,-1270,655,814,-1646,-2832
840,-32768,31882,3402,1634,430,-2832
-8990,29372,2136,-5372,-3432,593,-2864
