AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
5976,-22658,21822,2824,1189,-98,-2736
2032,10174,9454,-1992,-420,-127,-2768
-4482,10820,438,-1700,-1222,286,-2736
4876,-9124,3516,1687,1496,-339,-2736
1728,2722,8168,-303,928,-224,-2768
6062,-1182,13054,2575,2663,-758,-2752
-3048,-19090,23284,-2337,-984,881,-2752
-2578,32767,-6756,-2110,-238,-1407,-2752
3268,-32768,28118,5198,2206,-383,-2720
1880,-30160,23130,-2263,-1659,2109,-2720
3864,8072,2758,1111,538,-1084,-2752
5234,-23702,22594,2486,1086,-7,-2768
2928,14552,7144,-2457,-591,-140,-2752
-5102,13954,330,-1355,-650,185,-2720
7468,-20104,17376,1538,1516,-192,-2736
2160,4154,7644,-330,1159,-258,-2720
6052,-5080,13910,2887,2597,-708,-2752
-4972,-12404,20024,-3133,-1284,892,-2752
-1512,32767,-7814,-3419,-834,-1114,-2736
2728,-5858,224,5517,2195,-799,-2736
-8624,26636,5708,-3507,-2207,1946,-2736
4238,3518,3384,2120,679,-1188,-2736
4418,-24036,22578,1444,487,140,-2768
2918,19248,5116,-2327,-608,-274,-2768
1060,-2542,11268,93,676,6,-2736
7094,-18088,17016,307,993,-19,-2768
2148,5320,7528,120,1282,-349,-2768
2056,18844,3998,2582,2889,-1017,-2720
-7268,-2800,15086,-1011,-325,1040,-2768
-830,32767,-8354,-3885,-1058,-1022,-2736
4874,-16578,4184,5484,2130,-993,-2736
-1510,-19354,24306,-3083,-2069,2126,-2736
4588,-1656,3690,1769,714,-1216,-2704
3212,-24334,22092,1908,816,80,-2736
2994,22926,3456,-2599,-662,-215,-2736
-4028,13732,3176,-108,426,9,-2736
6446,-15476,15482,625,1127,-99,-2736
2382,5372,7294,81,1305,-353,-2736
4352,-10358,14790,2382,1601,-417,-2736
-8312,3944,10008,-4552,-1758,335,-2736
4996,-13232,2432,2073,1241,-1836,-2736
-2142,-32768,30954,928,190,1019,-2784
-8680,32767,-2804,-4661,-2998,-205,-2752
4636,-8156,4076,3540,433,-688,-2736
1064,-20270,19042,-1010,-1174,279,-2768
2618,24952,1586,-2156,-614,-319,-2736
-3328,13446,4272,157,775,-85,-2704
5394,-12980,14196,178,845,-18,-2768
2536,5678,6790,34,1344,-376,-2720
3382,-11384,14766,2748,2014,-464,-2736
-9048,10010,6524,-4471,-1733,531,-2736
352,26812,-7614,1427,1035,-1941,-2736
-3930,-29368,28612,2518,985,651,-2704
-8400,32767,-5764,-5044,-3064,322,-2736
5166,-13660,3864,3568,240,-450,-2768
-454,-16566,16132,-1502,-1463,277,-2736
-672,8406,2178,177,-280,-609,-2768
1402,-13812,15818,1216,1389,-186,-2736
4234,-8788,11774,-1877,-629,309,-2768
2180,5676,6324,578,1050,-415,-2768
-3836,-1512,8986,186,-4,-80,-2768
-3564,29256,-3448,-2666,-63,-607,-2736
5872,-28908,12096,3749,1708,-263,-2752
-6178,-17260,23358,-3942,-1761,1239,-2752
-1204,12334,-6848,905,-636,-1919,-2720
3372,-32768,20924,1015,-575,1544,-2752
-1348,23612,-1126,-1975,-925,-507,-2752
400,4190,4056,3002,1025,-319,-2720
1910,9016,10034,-1531,-228,-110,-2752
-4074,11348,404,-1900,-1370,283,-2720
4702,-9414,3836,1655,1424,-355,-2720
-3484,522,8214,-507,734,-155,-2752
6304,-1518,13398,2151,2818,-967,-2752
-3084,-18944,23848,-1108,-393,885,-2752
-2546,32767,-6620,-3650,-992,-991,-2752
3598,-32768,27864,5462,2279,-631,-2736
-7496,18860,10200,-3302,-2121,1982,-2752
3758,9168,2732,2041,696,-1212,-2752
5342,-23436,22540,1065,145,162,-2736
572,21774,-560,-2130,-523,-364,-2704
-24,2574,9392,125,699,-47,-2736
7480,-19484,16952,194,848,-35,-2736
2068,3378,8062,195,1303,-333,-2736
-1500,-7492,12152,1991,1192,-319,-2736
-9194,25116,-3756,-4752,-1739,191,-2736
2758,5852,-4598,2769,1442,-1719,-2768
2014,-32768,30226,1693,602,845,-2720
-8228,25166,6116,-5132,-3084,336,-2704
6606,-30080,7128,3594,166,-445,-2736
-4334,1128,6662,-1602,-1533,255,-2704
-538,18686,-420,161,-263,-627,-2736
890,-1576,10894,1226,1449,-196,-2768
-880,1816,3774,-1844,-675,338,-2736
2696,2724,2158,532,910,-408,-2736
-2532,-7372,11762,262,-34,-115,-2736
-8442,29344,-5852,-2780,-155,-637,-2736
3372,-32768,26158,4204,1925,-592,-2736
-7326,11848,8068,-3296,-1606,1476,-2768
-6706,32000,-9830,-331,-1310,-1774,-2768
6598,-32768,10088,1714,-468,1296,-2736
2934,24700,-2382,-2580,-1431,-324,-2736
3920,-7832,11582,2818,803,-464,-2736
-152,-10454,16516,-936,-7,-78,-2736
-1772,5704,1304,-2277,-1586,303,-2768
6436,-18896,11250,1706,1273,-346,-2768
-746,2128,7720,-647,676,-179,-2720
3428,14154,6656,2240,2846,-1039,-2752
1712,-32768,28678,-1064,-383,1006,-2752
-478,31120,-8216,-3809,-1026,-1014,-2752
5470,-24414,9350,5445,2081,-928,-2720
-2934,-11808,22764,-3157,-2056,2075,-2752
3660,22492,-1712,1926,767,-1254,-2752
1352,-21646,20088,1777,690,163,-2752
2732,24632,1854,-2506,-673,-256,-2720
-3580,13354,3970,-173,387,2,-2752
6878,-20138,13026,635,1125,-91,-2752
2346,5166,7052,97,1347,-337,-2752
3212,-10514,14396,2390,1632,-386,-2752
-8766,8714,6652,-4590,-1783,299,-2752
5224,-19276,5836,2801,1485,-1691,-2736
-3772,-29402,28300,1619,525,873,-2752
-8520,32767,-5766,-4884,-3073,-25,-2752
5262,-14188,4120,3619,143,-206,-2752
-776,-16172,15962,-2103,-1734,281,-2752
-682,8076,2170,698,-123,-636,-2720
1040,-13972,15934,1119,1348,-195,-2752
3888,-8816,11458,-2127,-955,352,-2720
2398,5580,5808,694,958,-427,-2752
-3670,-1804,8784,-73,-95,-76,-2752
-3714,29128,-3694,-2046,410,-751,-2752
6080,-29278,11838,3864,1782,-282,-2720
-3690,32767,-4906,-4366,-1775,1069,-2736
-1352,11960,-6458,976,-648,-1895,-2752
3110,-32768,21022,1029,-580,1549,-2720
-1208,22326,-1032,-1869,-935,-499,-2720
5808,-20886,20960,2965,1095,-226,-2704
2090,8614,9796,-1841,-421,-116,-2768
-4514,12186,-24,-1857,-1232,299,-2736
4870,-10028,3624,1834,1518,-326,-2768
1412,3058,7698,-423,898,-217,-2736
6526,-2850,13412,2684,2823,-890,-2736
-4072,-16458,22882,-2146,-879,1019,-2736
-1708,32767,-7598,-2561,-440,-1437,-2736
3106,-32768,29858,5443,2336,-505,-2768
-8480,22652,8554,-4109,-2506,1796,-2736
4044,6898,2748,2694,738,-1191,-2736
5188,-24894,22896,872,17,203,-2704
146,20574,-1042,-1966,-514,-401,-2736
78,-60,10150,375,761,-32,-2736
7642,-18560,16170,-102,747,-51,-2736
1946,3590,8028,268,1283,-330,-2736
-2102,-6636,11178,1381,620,-245,-2720
-8884,26678,-4688,-4533,-1584,-66,-2752
3266,1144,-3394,3652,1712,-1400,-2720
1112,-32768,30894,-631,-536,1280,-2720
-7052,32767,-9562,-3552,-2746,-788,-2752
6394,-31946,8510,3308,-82,388,-2752
-4358,4234,5558,-2843,-1900,108,-2720
-398,17084,-130,1885,282,-660,-2752
530,-11924,16798,556,945,-205,-2752
-1412,2838,3030,-1940,-780,335,-2736
2790,1988,1886,463,967,-416,-2720
-2922,-6530,11322,472,54,-106,-2720
-8050,29598,-5938,-3823,-984,-388,-2736
4660,-6724,-1522,4315,1895,-999,-2736
-7048,14086,6600,-2259,-1245,1544,-2736
-6068,30628,-9650,-2748,-2400,-1234,-2752
6684,-32768,10934,3268,-85,429,-2736
-4562,9426,3960,-2906,-1940,135,-2736
-976,14764,-64,1834,224,-654,-2736
476,-8906,16208,596,890,-139,-2736
-2274,5758,1296,-2477,-1456,371,-2736
3088,-842,1528,1121,983,-423,-2736
-3562,-3910,9996,-676,-98,-85,-2736
3944,12768,7532,-292,1593,-1066,-2736
1596,-32768,28932,2417,1243,288,-2768
-6230,22658,1956,-4989,-1762,248,-2720
-5078,26048,-9266,3988,973,-1676,-2752
-3500,-8648,22306,-1150,-1318,2136,-2720
4036,21912,-1442,-98,155,-1000,-2752
5508,-13774,15956,2840,1259,-91,-2752
478,-3974,14892,-2613,-611,-84,-2752
-2928,11824,5156,-1204,-623,162,-2752
6966,-20106,13840,1589,1552,-251,-2720
448,2266,7818,-179,1177,-282,-2720
4916,7180,10070,2820,2533,-688,-2752
-9238,12332,4550,-3287,-1334,846,-2752
152,24754,-7464,-811,232,-1712,-2752
5366,-32768,17642,4363,1888,23,-2752
-8264,32767,-6540,-5007,-2898,869,-2768
5694,-15986,3928,3235,583,-897,-2720
-1274,-15028,15324,-252,-739,253,-2720
1626,25102,-4,-1132,-493,-466,-2784
1204,-14748,16564,1117,1433,-217,-2736
3650,-8118,10910,-1308,-231,234,-2736
2338,5688,5622,305,1051,-429,-2736
1026,-10932,13908,785,267,-142,-2768
-3164,28166,-2490,-3615,-842,-389,-2736
5718,-28752,13380,4230,1939,-932,-2768
-5996,-15704,22184,-1598,-974,1496,-2752
-8300,32767,-8850,-2699,-2377,-1139,-2752
3320,-32768,21434,2483,-195,887,-2736
-720,22726,-942,-2891,-1811,17,-2752
614,3018,5100,2301,450,-603,-2720
890,-16010,17294,211,613,-160,-2752
-4832,13864,-266,-2567,-1630,362,-2736
4978,-11422,4048,1410,1114,-396,-2784
-3154,404,7834,-816,232,-110,-2736
-848,24854,164,1320,2489,-1104,-2736
-4980,-14252,21922,430,306,787,-2736
-2012,32767,-7802,-4843,-1611,-321,-2736
1918,-318,-3030,4751,1553,-1387,-2768
872,-28946,23908,-1970,-1625,2203,-2768
3920,7130,2788,787,495,-1114,-2736
5138,-24244,22672,2431,1126,20,-2736
2434,17122,6368,-2797,-748,-141,-2768
-4620,12894,1164,-846,-322,112,-2736
5426,-13326,6262,1677,1464,-309,-2704
-2574,1186,7918,-414,899,-190,-2768
5990,-6744,14742,2678,2807,-828,-2752
-5478,-9176,18116,-2261,-954,947,-2752
-1134,32767,-8062,-2339,-348,-1383,-2752
3122,-9166,1556,5320,2264,-455,-2752
-8928,28816,3920,-4150,-2555,1689,-2720
3924,1284,3436,2767,689,-1148,-2720
3776,-24414,22102,707,-108,209,-2720
3228,20916,4142,-1860,-561,-383,-2720
560,-3556,11196,347,803,-46,-2752
6920,-17018,16066,-80,665,-30,-2720
2202,4090,7798,226,1237,-322,-2720
-2884,-5792,10970,1444,684,-231,-2736
-7956,28156,-5330,-4734,-1740,67,-2752
4190,-5390,-1334,3229,1621,-1657,-2720
-478,-32768,31626,101,-154,1178,-2720
-6138,30410,-9274,-3528,-2696,-865,-2768
6106,-32768,11210,3456,-27,203,-2752
-4340,8992,3686,-2341,-1840,193,-2736
-856,14030,348,1043,-70,-637,-2768
1392,-7166,13036,1096,1322,-183,-2736
-2604,5648,1314,-2226,-1099,409,-2736
3324,92,1014,742,925,-389,-2736
-3632,-4816,10650,-216,-131,-74,-2768
-6604,30714,-6138,-1684,711,-811,-2768
1208,-32768,29282,3636,1696,-179,-2736
-6248,23436,1516,-4165,-1792,1190,-2736
-4720,25426,-9294,2449,130,-1958,-2784
5902,-32768,14876,-18,-918,1927,-2720
-4232,16096,1888,-2977,-1723,-186,-2752
-1028,11988,614,2625,610,-543,-2720
590,-3482,14650,-345,258,-95,-2752
-3148,9180,58,-2459,-1602,333,-2720
3546,-3992,1750,1474,1160,-400,-2752
536,2660,7934,-634,457,-154,-2736
5360,7096,10192,1191,2455,-1088,-2752
-134,-29574,28526,663,526,686,-2752
-4744,29120,-2454,-4837,-1596,-284,-2752
5656,-32768,18634,5159,1853,-1166,-2768
-4996,1404,18692,-1934,-1590,2170,-2752
4096,17590,314,1276,612,-1139,-2736
5970,-18422,19350,2143,984,37,-2768
2064,24934,32,-2646,-665,-190,-2736
-1986,9728,6500,-585,94,68,-2736
7554,-21218,16080,1008,1300,-178,-2736
1604,2186,7928,8,1322,-311,-2736
934,-10054,13514,2606,1940,-466,-2736
-9606,18112,604,-4383,-1730,519,-2768
1110,17958,-6602,1305,1019,-1912,-2768
4504,-32768,24366,2565,1035,633,-2736
-7846,32767,-8438,-5120,-3072,334,-2736
6364,-22888,4386,3621,251,-448,-2736
-3086,-8372,11192,-1622,-1535,277,-2768
474,23302,-470,186,-291,-601,-2736
1080,-16482,17776,1339,1494,-225,-2768
1344,-2792,7414,-2002,-724,342,-2736
2536,5096,3996,467,1025,-445,-2720
-954,-10374,13292,523,104,-129,-2752
-812,25000,358,-2535,-19,-678,-2768
4866,-32768,20922,4242,1895,-703,-2720
-7390,-188,14548,-2998,-1525,1502,-2752
-7656,32767,-9690,-888,-1591,-1605,-2720
1014,-27844,23714,1536,-399,1325,-2768
1416,24782,-2254,-2629,-1474,-232,-2752
2510,-2414,8638,2894,888,-415,-2768
90,-14108,17478,-1179,-119,-107,-2736
-4404,13566,1474,-2168,-1453,311,-2736
5656,-14644,7530,1630,1333,-371,-2736
-2120,1452,7736,-556,614,-158,-2736
2006,18568,4438,2125,2840,-1009,-2736
-6874,-3778,15164,-911,-310,941,-2736
-1020,32767,-8530,-4037,-1208,-889,-2736
4274,-14748,3396,5381,1991,-1004,-2704
-1352,-19442,23770,-3023,-2033,2081,-2736
4280,-1330,3440,1799,715,-1222,-2768
4082,-8434,12222,2860,1181,-90,-2736
2962,23296,3000,-2471,-592,-108,-2736
-4456,12956,2908,-1162,-630,178,-2752
6192,-17088,9856,1505,1505,-241,-2752
-972,1464,7830,-79,1271,-282,-2752
4662,-9286,14604,2781,2497,-651,-2720
-7480,1040,11486,-3284,-1346,811,-2752
-266,31576,-8218,-766,323,-1681,-2720
4796,-23006,9226,4337,1903,20,-2688
-2512,-12248,22202,-3054,-2012,1985,-2720
4340,-7402,3936,2282,676,-1129,-2768
1214,-21170,19204,1691,561,101,-2784
2820,24450,1432,-2477,-689,-261,-2720
-3580,13378,3932,-225,446,17,-2752
5414,-13582,14156,318,945,-23,-2736
2094,5678,6578,23,1234,-362,-2736
3576,-10722,14562,2210,1371,-325,-2736
-8966,8876,6984,-4711,-1852,398,-2752
400,27708,-7982,2048,1232,-1939,-2720
-3688,-30950,28960,1961,752,859,-2752
-9036,32767,-5594,-5053,-3144,70,-2720
5172,-12666,3336,3640,143,-269,-2752
200,-17828,16734,-1838,-1621,262,-2752
-678,9184,1612,540,-143,-654,-2720
1178,-13498,15590,1211,1324,-184,-2720
4500,-9678,12012,-2022,-861,339,-2752
1948,5316,6156,634,905,-407,-2720
-3816,-1626,8750,-46,-175,-94,-2752
-3996,29686,-4452,-2326,238,-729,-2752
6228,-26712,9450,4022,1871,-382,-2752
-4286,31778,-4030,-4106,-1794,1180,-2736
-2012,15822,-7724,377,-957,-1915,-2752
3924,-32768,20200,1334,-596,1488,-2720
-2198,22574,-586,-2328,-1220,-465,-2720
6160,-21064,20696,3077,1112,-298,-2736
1604,5564,11384,-1674,-305,-83,-2736
-4324,11382,-130,-1989,-1394,284,-2736
4502,-8164,2926,1746,1380,-336,-2736
1508,3096,8052,-508,783,-198,-2736
6148,582,12364,2321,2847,-947,-2736
-2234,-22114,25218,-1284,-426,905,-2768
-3392,32767,-5956,-3455,-897,-1066,-2736
4292,-32768,25974,5468,2148,-817,-2736
-6648,13442,12830,-3452,-2154,1885,-2736
4070,11732,2054,2164,712,-1140,-2768
5748,-22636,22094,1451,464,116,-2736
432,22736,-778,-2314,-698,-281,-2736
-118,4798,8384,60,683,-52,-2736
7668,-21802,18116,377,950,-43,-2736
2210,3758,7666,18,1248,-361,-2736
-1050,-9752,13100,2356,1476,-366,-2768
-9638,25220,-3400,-4842,-1834,286,-2736
2952,7348,-5042,3353,1641,-1651,-2752
2716,-32768,30146,27,-225,1229,-2752
-7470,32767,-9632,-4235,-2869,-587,-2784
3816,5914,3062,3494,393,-685,-2752
-4312,-634,7806,-376,-783,264,-2768
-456,19946,-794,-1873,-568,-373,-2768
896,-932,10616,591,1017,-98,-2736
7246,-18974,17370,-29,775,-17,-2752
2126,4826,7372,279,1265,-389,-2736
-2594,-7294,11732,1745,868,-245,-2736
-8448,29528,-5728,-4711,-1598,-39,-2736
4256,-5780,-1494,3737,1745,-1429,-2736
-166,-32768,32524,-749,-642,1371,-2736
-6604,31722,-9794,-3804,-2767,-821,-2736
6910,-32768,10124,3408,-6,339,-2736
-4856,8530,4548,-2926,-2010,172,-2768
-1084,15536,-356,1803,224,-683,-2736
192,-9774,16676,579,865,-144,-2736
-1374,5194,1654,-2340,-1338,338,-2736
2788,-1176,2200,1054,978,-419,-2768
-3586,-3982,9860,-506,-124,-81,-2736
3466,13210,7514,-402,1510,-934,-2736
1746,-32768,28388,2469,1232,144,-2736
-5798,20508,2578,-4631,-1771,608,-2768
-5338,26368,-8556,2883,386,-1736,-2704
-2970,-9884,21584,-384,-917,1884,-2736
3808,21498,-1414,-701,-162,-801,-2736
5258,-13858,16280,2710,1187,-76,-2720
922,-4140,14676,-2507,-634,-103,-2752
-3528,12086,4314,-1354,-755,193,-2720
6720,-19250,12754,1651,1532,-283,-2752
146,1546,8056,-175,1185,-234,-2720
4320,9870,9126,2695,2580,-701,-2720
-8698,8450,6502,-2897,-1239,849,-2720
312,26862,-7914,-1245,119,-1629,-2720
5104,-32740,16446,4686,2076,-86,-2752
-4588,-1584,19108,-4677,-2759,1265,-2784
4830,-14300,4014,3070,503,-868,-2688
-600,-16656,15580,-39,-620,208,-2720
1922,24678,146,-1295,-500,-471,-2720
-2142,10916,5858,672,1125,-116,-2736
7270,-22120,16014,401,993,-13,-2736
1994,6134,5508,49,1220,-355,-2736
1662,-11592,14158,2617,1781,-417,-2752
-10100,18098,1180,-4738,-1864,443,-2720
1510,19316,-7150,1176,958,-2029,-2736
5574,-32768,23200,2903,1303,556,-2736
-9050,32767,-8360,-5246,-3143,539,-2768
6894,-21792,3562,3699,343,-628,-2736
-2326,-11574,13374,-1294,-1315,292,-2736
1260,24624,-396,-140,-272,-637,-2736
418,-16458,17148,1201,1355,-131,-2736
2518,-4190,8156,-1729,-496,258,-2736
2042,4330,4872,575,999,-412,-2736
20,-9700,13068,308,-48,-114,-2736
-1558,26222,-1298,-3044,-448,-525,-2736
5582,-32440,17190,4064,1932,-492,-2720
-6634,-9470,19196,-3382,-1630,1337,-2752
-8426,32767,-9332,-99,-1212,-1734,-2720
2252,-32230,22972,1632,-464,1305,-2752
-44,25014,-1928,-2479,-1346,-346,-2720
1212,2116,5508,2906,862,-417,-2720
626,-16540,18044,-967,25,-110,-2752
-5176,14508,-108,-2427,-1646,304,-2752
5234,-12438,4972,1832,1299,-355,-2752
-2512,-554,8318,-705,522,-170,-2720
