AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-7532,-4400,28924,1591,-1973,340,-3440
6594,5212,-2476,-2062,1420,-180,-3440
1810,-1468,588,-495,980,-355,-3472
-4750,-598,16330,780,-1784,68,-3472
2972,2312,10512,79,566,-347,-3440
4334,882,-350,-1223,1495,-552,-3472
-6816,-342,20388,1413,-1881,-11,-3472
-2064,-210,19262,1427,-678,-51,-3472
7710,-8608,-11602,-4271,2633,-628,-3488
-12130,-5472,32767,4644,-3975,120,-3456
8088,-7656,3598,-2286,3019,-425,-3456
4428,5960,-10638,-687,800,96,-3456
-5926,1658,15936,1959,-2087,482,-3456
7200,3178,266,-1799,1789,-211,-3456
370,-2682,834,-519,1392,-339,-3488
-3220,-452,11774,787,-1282,81,-3456
2804,3196,10604,21,737,-446,-3456
2370,-1536,-276,-838,1739,-574,-3456
-4390,490,14024,1074,-1378,-95,-3488
-3300,4244,21752,1816,-949,-70,-3488
5318,-13162,-3708,-3729,3430,-619,-3456
-10028,-1654,27700,3740,-3465,215,-3456
5568,-7326,12794,-914,1806,-299,-3488
1648,2042,-9484,-1726,1512,68,-3488
-9560,782,30502,1775,-2661,446,-3472
6074,2618,7258,-1588,1237,-388,-3472
-2930,-5258,1386,-483,818,-164,-3440
2160,-604,4242,605,-1523,-83,-3472
2706,812,7044,190,139,-406,-3440
1646,-4320,-1184,-856,1583,-466,-3472
-1134,1816,7430,382,-1254,-3,-3472
-4278,5482,24086,2096,-2099,-44,-3456
4040,-15894,1370,-2646,3648,-487,-3456
6522,10510,-13756,1714,-2347,128,-3424
2958,-7986,21270,1305,-272,-217,-3456
2764,1354,-7798,-2203,2551,63,-3488
-1712,4060,618,1672,-2415,431,-3456
6366,1074,7906,-1300,1279,-413,-3504
-1978,-3676,2432,-354,859,-88,-3456
446,-554,5382,547,-1204,-19,-3456
3588,4486,10058,-248,28,-451,-3472
372,-5352,2374,58,1275,-395,-3472
-520,1560,5506,-71,-959,-34,-3472
-1004,10330,19208,1346,-1936,-157,-3472
176,-16424,13100,-1847,3374,-449,-3472
-1710,4270,5822,206,-1599,71,-3472
1200,2328,15870,2775,-1071,-110,-3456
1444,-2764,-2550,-1143,1907,153,-3472
762,4228,-3690,27,-265,279,-3472
3564,130,11480,-470,986,-482,-3472
-6078,-4570,15206,304,281,21,-3472
1984,-422,538,260,286,-140,-3472
3916,4292,8448,-583,565,-627,-3504
-6346,-3630,18824,1113,-71,-218,-3472
970,-2364,4894,-411,698,-50,-3440
1210,12946,14462,-1320,-932,-324,-3472
-4438,-15014,24710,1667,52,4,-3472
7578,6278,-11500,-3380,1299,-328,-3472
1822,4786,6956,2116,-1055,29,-3472
-3214,-5142,6154,-4,5,231,-3472
3834,3652,-4104,-629,277,103,-3440
2364,-12,6074,-986,591,-533,-3488
-5500,-3420,16460,723,-1182,98,-3488
4616,190,-1612,-176,616,-246,-3488
3582,3878,5876,-648,73,-481,-3456
-6962,-3370,21888,1146,-587,-170,-3456
916,-2946,6258,-515,737,4,-3488
2544,14490,10074,-1840,-1074,-282,-3456
-7198,-12668,32767,2590,-903,19,-3488
7504,760,-9832,-3760,2061,-386,-3456
-1602,-910,28126,2812,-1624,38,-3440
-3214,-5552,14556,-393,476,139,-3472
4882,6506,-5000,-884,196,211,-3440
2392,-494,5636,-487,482,-523,-3440
-5318,-5398,10486,380,-718,141,-3472
2780,-216,56,100,303,-166,-3472
5222,3190,2706,-1088,444,-595,-3472
-8484,-1836,23680,1472,-967,-123,-3472
2006,818,-1058,-725,741,-25,-3472
6228,15736,2504,-2289,-665,-393,-3472
-10238,-11872,32767,2864,-1191,42,-3472
8504,-2262,-7904,-3958,2141,-395,-3456
-1512,166,25654,2910,-1444,16,-3488
-4164,-5116,19836,-301,709,249,-3456
5842,5530,-4544,-1057,785,164,-3456
1830,-1032,2970,-445,903,-532,-3456
-5810,-5372,12466,489,-378,141,-3456
2890,288,384,161,661,-205,-3456
3970,866,1268,-885,923,-647,-3456
-4776,-5692,14842,1347,-584,-213,-3440
1412,-1054,1938,-81,752,-14,-3488
7990,14210,-4300,-2970,36,-420,-3488
-12344,-7074,32767,3443,-1875,80,-3456
7834,-5364,-170,-3934,2694,-388,-3456
