AcX,AcY,AcZ,GyX,GyY,GyZ,Tmp
-4268,756,23914,-1679,434,68,-3584
2572,-6098,648,-3530,3112,-404,-3616
-8164,-4024,10642,2027,-1102,-20,-3616
4990,9960,13154,-280,-2236,-409,-3584
-8564,-14112,32767,3248,-175,-759,-3584
8782,14686,-27750,-5135,2289,-188,-3600
-148,2838,5674,3727,-1661,134,-3568
786,-9908,32767,1956,-1352,88,-3600
-1856,-9660,11562,-4241,4269,-84,-3632
-3102,-2238,2102,1850,-185,282,-3600
748,-98,21026,663,-1183,-121,-3632
-6110,-11106,27678,403,456,-278,-3600
-8500,3520,17046,-235,-909,43,-3600
13380,10116,-18266,-5438,2920,-970,-3600
-10460,1252,27880,5323,-3504,-513,-3600
-928,-15480,32767,-747,454,-43,-3584
764,8286,-794,-2777,2464,414,-3616
5514,864,11258,1498,-595,-189,-3552
-9692,-16722,32767,1279,-450,214,-3616
-3030,7684,6138,-2228,1112,174,-3616
4502,6088,94,-1996,1125,-330,-3600
-9626,-9706,29696,3025,-1957,-237,-3584
-5404,6374,27832,1129,-3043,-248,-3584
1936,-20112,21758,-1317,3516,-818,-3600
5400,10766,-15212,-2309,1059,-248,-3600
-2874,-6768,30876,4411,-2911,38,-3584
-5010,-6596,31600,187,-529,235,-3584
6824,1326,-11778,-4757,4596,-206,-3568
2340,3562,-12144,3346,-1241,249,-3568
-4154,-1414,26782,1043,-1416,-40,-3600
764,-6056,8390,-1707,1929,-335,-3584
-4086,4614,-966,-35,-256,103,-3552
11766,350,-19846,-4152,817,-748,-3584
-10956,-9086,32767,5973,-3940,-589,-3584
-1564,-7952,17544,-2487,1289,-156,-3616
9986,12014,-16682,-1502,1996,398,-3584
592,-8072,32530,3292,-1977,-6,-3600
-1794,-13546,16078,-766,1576,87,-3616
3336,9914,-12466,-1134,1146,263,-3600
6712,9092,-11744,-386,-284,-219,-3600
-5092,-11794,27568,2033,-1079,-283,-3600
-8770,7018,16608,698,-2758,-137,-3584
8748,-15422,-3194,-1414,3136,-828,-3568
9176,13988,-22542,-2189,957,-326,-3600
-1636,1098,9174,4327,-2954,83,-3568
